Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Udacity\RoboND\Week1\Project1\training_data\3\IMG\robocam_2017_05_29_23_40_39_001.jpg;0;0;1;0;99.88551;84.59846;0.000240249;282.3589;-3.874164E-06
C:\Udacity\RoboND\Week1\Project1\training_data\3\IMG\robocam_2017_05_29_23_40_39_064.jpg;0;0;0;0;99.88551;84.59846;0.0002439171;282.3589;-1.721847E-06
C:\Udacity\RoboND\Week1\Project1\training_data\3\IMG\robocam_2017_05_29_23_40_39_131.jpg;0;0;0;0;99.88551;84.59846;0.0002466631;282.3589;-1.54028E-07
C:\Udacity\RoboND\Week1\Project1\training_data\3\IMG\robocam_2017_05_29_23_40_39_197.jpg;0;0;0;0;99.88551;84.59846;0.0002493991;282.3589;1.320951E-06
C:\Udacity\RoboND\Week1\Project1\training_data\3\IMG\robocam_2017_05_29_23_40_39_264.jpg;0;0;0;0;99.88551;84.59846;0.0002521825;282.3589;3.233604E-06
C:\Udacity\RoboND\Week1\Project1\training_data\3\IMG\robocam_2017_05_29_23_40_39_331.jpg;0;0;0;0;99.88551;84.59846;0.0002542532;282.3589;4.512255E-06
C:\Udacity\RoboND\Week1\Project1\training_data\3\IMG\robocam_2017_05_29_23_40_39_397.jpg;0;0;0;0;99.88551;84.59846;0.0002556728;282.3589;5.727201E-06
C:\Udacity\RoboND\Week1\Project1\training_data\3\IMG\robocam_2017_05_29_23_40_39_464.jpg;0;0;0;0;99.88551;84.59846;0.0002571112;282.3589;7.114564E-06
C:\Udacity\RoboND\Week1\Project1\training_data\3\IMG\robocam_2017_05_29_23_40_39_531.jpg;0;0;0;0;99.88551;84.59846;0.0002578426;282.3589;7.920976E-06
C:\Udacity\RoboND\Week1\Project1\training_data\3\IMG\robocam_2017_05_29_23_40_39_597.jpg;0;0.1003679;0;0;99.88551;84.59843;0.0008353383;282.3588;7.712206E-06
C:\Udacity\RoboND\Week1\Project1\training_data\3\IMG\robocam_2017_05_29_23_40_39_664.jpg;0;0.2998298;0;0;99.88566;84.59774;0.01675312;282.3653;-4.90949E-05
C:\Udacity\RoboND\Week1\Project1\training_data\3\IMG\robocam_2017_05_29_23_40_39_730.jpg;0;0.4997188;0;0.01323074;99.88625;84.59502;0.07576181;282.4106;-5.213026E-05
C:\Udacity\RoboND\Week1\Project1\training_data\3\IMG\robocam_2017_05_29_23_40_39_796.jpg;0;0.6991974;0;0.06367335;99.88741;84.58974;0.1851139;282.4217;-0.0002116486
C:\Udacity\RoboND\Week1\Project1\training_data\3\IMG\robocam_2017_05_29_23_40_39_864.jpg;0;0.8992661;0;0.08813256;99.88998;84.57813;0.4144911;282.5427;-0.0007159047
C:\Udacity\RoboND\Week1\Project1\training_data\3\IMG\robocam_2017_05_29_23_40_39_930.jpg;0;1;0;0.1466831;99.89293;84.56466;0.6448193;282.5267;-0.0002145576
C:\Udacity\RoboND\Week1\Project1\training_data\3\IMG\robocam_2017_05_29_23_40_39_996.jpg;0;1;0;0.1995187;99.89651;84.54846;0.8868893;282.5992;-0.0008572514
C:\Udacity\RoboND\Week1\Project1\training_data\3\IMG\robocam_2017_05_29_23_40_40_064.jpg;0;1;0;0.2588099;99.90248;84.52162;1.233633;282.7541;-0.001609269
C:\Udacity\RoboND\Week1\Project1\training_data\3\IMG\robocam_2017_05_29_23_40_40_130.jpg;0;1;0;0.3060304;99.90722;84.50037;1.346901;282.7907;-0.003029225
