Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
..\training_data\3\IMG\robocam_2017_05_29_23_40_39_001.jpg;0;0;1;0;99.88551;84.59846;0.000240249;282.3589;-3.874164E-06
..\training_data\3\IMG\robocam_2017_05_29_23_40_39_064.jpg;0;0;0;0;99.88551;84.59846;0.0002439171;282.3589;-1.721847E-06
..\training_data\3\IMG\robocam_2017_05_29_23_40_39_131.jpg;0;0;0;0;99.88551;84.59846;0.0002466631;282.3589;-1.54028E-07
..\training_data\3\IMG\robocam_2017_05_29_23_40_39_197.jpg;0;0;0;0;99.88551;84.59846;0.0002493991;282.3589;1.320951E-06
..\training_data\3\IMG\robocam_2017_05_29_23_40_39_264.jpg;0;0;0;0;99.88551;84.59846;0.0002521825;282.3589;3.233604E-06
..\training_data\3\IMG\robocam_2017_05_29_23_40_39_331.jpg;0;0;0;0;99.88551;84.59846;0.0002542532;282.3589;4.512255E-06
..\training_data\3\IMG\robocam_2017_05_29_23_40_39_397.jpg;0;0;0;0;99.88551;84.59846;0.0002556728;282.3589;5.727201E-06
..\training_data\3\IMG\robocam_2017_05_29_23_40_39_464.jpg;0;0;0;0;99.88551;84.59846;0.0002571112;282.3589;7.114564E-06
..\training_data\3\IMG\robocam_2017_05_29_23_40_39_531.jpg;0;0;0;0;99.88551;84.59846;0.0002578426;282.3589;7.920976E-06
..\training_data\3\IMG\robocam_2017_05_29_23_40_39_597.jpg;0;0.1003679;0;0;99.88551;84.59843;0.0008353383;282.3588;7.712206E-06
..\training_data\3\IMG\robocam_2017_05_29_23_40_39_664.jpg;0;0.2998298;0;0;99.88566;84.59774;0.01675312;282.3653;-4.90949E-05
..\training_data\3\IMG\robocam_2017_05_29_23_40_39_730.jpg;0;0.4997188;0;0.01323074;99.88625;84.59502;0.07576181;282.4106;-5.213026E-05
..\training_data\3\IMG\robocam_2017_05_29_23_40_39_796.jpg;0;0.6991974;0;0.06367335;99.88741;84.58974;0.1851139;282.4217;-0.0002116486
..\training_data\3\IMG\robocam_2017_05_29_23_40_39_864.jpg;0;0.8992661;0;0.08813256;99.88998;84.57813;0.4144911;282.5427;-0.0007159047
..\training_data\3\IMG\robocam_2017_05_29_23_40_39_930.jpg;0;1;0;0.1466831;99.89293;84.56466;0.6448193;282.5267;-0.0002145576
..\training_data\3\IMG\robocam_2017_05_29_23_40_39_996.jpg;0;1;0;0.1995187;99.89651;84.54846;0.8868893;282.5992;-0.0008572514
..\training_data\3\IMG\robocam_2017_05_29_23_40_40_064.jpg;0;1;0;0.2588099;99.90248;84.52162;1.233633;282.7541;-0.001609269
..\training_data\3\IMG\robocam_2017_05_29_23_40_40_130.jpg;0;1;0;0.3060304;99.90722;84.50037;1.346901;282.7907;-0.003029225
..\training_data\3\IMG\robocam_2017_05_29_23_40_40_196.jpg;0;1;0;0.3791587;99.91171;84.48065;1.182738;282.7834;-0.0004107392
..\training_data\3\IMG\robocam_2017_05_29_23_40_40_264.jpg;0;1;0;0.4246196;99.91898;84.44799;1.040055;282.7613;-0.0001527439
..\training_data\3\IMG\robocam_2017_05_29_23_40_40_330.jpg;0;1;0;0.4909751;99.92562;84.41824;1.029227;282.7729;-0.0005632481
..\training_data\3\IMG\robocam_2017_05_29_23_40_40_396.jpg;0;1;0;0.5580419;99.93293;84.38544;1.058112;282.6978;0.0005677362
..\training_data\3\IMG\robocam_2017_05_29_23_40_40_463.jpg;0;1;0;0.6057561;99.94405;84.33538;1.183075;282.7008;-0.0007321336
..\training_data\3\IMG\robocam_2017_05_29_23_40_40_530.jpg;0;1;0;0.641472;99.95284;84.29549;1.251141;282.8656;-0.002532056
..\training_data\3\IMG\robocam_2017_05_29_23_40_40_596.jpg;0;1;0;0.7147152;99.96206;84.25391;1.249545;282.9031;-0.001191297
..\training_data\3\IMG\robocam_2017_05_29_23_40_40_663.jpg;0;1;0;0.7774183;99.97559;84.19359;1.228032;282.8542;-0.0007498254
..\training_data\3\IMG\robocam_2017_05_29_23_40_40_730.jpg;0;1;0;0.8177493;99.98646;84.1451;1.201517;282.8401;0.0005853772
..\training_data\3\IMG\robocam_2017_05_29_23_40_40_796.jpg;0;1;0;0.8835983;99.99799;84.09354;1.19769;282.8334;-0.0009380619
..\training_data\3\IMG\robocam_2017_05_29_23_40_40_862.jpg;0;1;0;0.9346126;100.0146;84.01953;1.223496;282.8653;-0.001050755
..\training_data\3\IMG\robocam_2017_05_29_23_40_40_929.jpg;0;1;0;0.9840773;100.0278;83.9608;1.232432;282.8452;-0.0006685259
..\training_data\3\IMG\robocam_2017_05_29_23_40_40_995.jpg;0;1;0;1.048573;100.0415;83.89948;1.226834;282.8502;-0.001066501
..\training_data\3\IMG\robocam_2017_05_29_23_40_41_062.jpg;0;1;0;1.096631;100.0608;83.81341;1.221537;282.8313;-0.0005746403
..\training_data\3\IMG\robocam_2017_05_29_23_40_41_129.jpg;0;1;0;1.142314;100.076;83.74545;1.229354;282.8269;-0.0008682342
..\training_data\3\IMG\robocam_2017_05_29_23_40_41_195.jpg;0;1;0;1.199365;100.0918;83.675;1.2289;282.8217;-0.0005236972
..\training_data\3\IMG\robocam_2017_05_29_23_40_41_262.jpg;0;1;0;1.250169;100.1137;83.57664;1.233401;282.7967;-0.0006171145
..\training_data\3\IMG\robocam_2017_05_29_23_40_41_329.jpg;0;1;0;1.296834;100.1309;83.4997;1.234998;282.77;-0.0007197383
..\training_data\3\IMG\robocam_2017_05_29_23_40_41_395.jpg;0;1;0;1.36086;100.1487;83.41992;1.239993;282.7489;-0.0008662362
..\training_data\3\IMG\robocam_2017_05_29_23_40_41_462.jpg;0;1;0;1.408238;100.1732;83.30932;1.243648;282.7283;-0.0009140332
..\training_data\3\IMG\robocam_2017_05_29_23_40_41_528.jpg;0;1;0;1.455256;100.1924;83.22303;1.250126;282.7106;-0.0009267117
..\training_data\3\IMG\robocam_2017_05_29_23_40_41_594.jpg;0;1;0;1.51665;100.2121;83.13407;1.253068;282.6993;-0.0009191202
..\training_data\3\IMG\robocam_2017_05_29_23_40_41_661.jpg;0;1;0;1.564211;100.2393;83.01116;1.258907;282.6837;-0.0009554965
..\training_data\3\IMG\robocam_2017_05_29_23_40_41_728.jpg;0;1;0;1.609764;100.2603;82.91582;1.262602;282.6738;-0.0009974764
..\training_data\3\IMG\robocam_2017_05_29_23_40_41_795.jpg;0;1;0;1.671407;100.282;82.81773;1.267852;282.6615;-0.001008967
..\training_data\3\IMG\robocam_2017_05_29_23_40_41_862.jpg;0;1;0;1.718204;100.3117;82.6828;1.271325;282.647;-0.001006113
..\training_data\3\IMG\robocam_2017_05_29_23_40_41_928.jpg;0;1;0;1.763937;100.3347;82.57841;1.277428;282.636;-0.001063746
..\training_data\3\IMG\robocam_2017_05_29_23_40_41_994.jpg;0;1;0;1.824903;100.3582;82.47136;1.282066;282.6247;-0.001064655
..\training_data\3\IMG\robocam_2017_05_29_23_40_42_061.jpg;0;1;0;1.870321;100.3905;82.32453;1.284876;282.6105;-0.001100898
..\training_data\3\IMG\robocam_2017_05_29_23_40_42_128.jpg;0;1;0;1.915574;100.4154;82.21124;1.290929;282.6002;-0.001107225
..\training_data\3\IMG\robocam_2017_05_29_23_40_42_194.jpg;0;1;0;1.975079;100.4408;82.09537;1.292923;282.5883;-0.001099687
..\training_data\3\IMG\robocam_2017_05_29_23_40_42_261.jpg;0;1;0;2.020539;100.4755;81.93672;1.298515;282.5732;-0.001128338
..\training_data\3\IMG\robocam_2017_05_29_23_40_42_328.jpg;0;1;0;2.065313;100.5022;81.81467;1.303307;282.563;-0.001184838
..\training_data\3\IMG\robocam_2017_05_29_23_40_42_394.jpg;0;1;0;2.124711;100.5294;81.69004;1.304907;282.5519;-0.001188281
..\training_data\3\IMG\robocam_2017_05_29_23_40_42_461.jpg;0;1;0;2.169145;100.5666;81.51975;1.309982;282.5352;-0.001170776
..\training_data\3\IMG\robocam_2017_05_29_23_40_42_528.jpg;0;1;0;2.213155;100.5951;81.38905;1.313138;282.5246;-0.001195397
..\training_data\3\IMG\robocam_2017_05_29_23_40_42_593.jpg;0;1;0;2.271917;100.6242;81.25569;1.318727;282.5127;-0.001249775
..\training_data\3\IMG\robocam_2017_05_29_23_40_42_661.jpg;0;1;0;2.3159;100.6637;81.074;1.319259;282.4974;-0.001247507
..\training_data\3\IMG\robocam_2017_05_29_23_40_42_727.jpg;0;1;0;2.359432;100.694;80.93465;1.325168;282.4859;-0.001251246
..\training_data\3\IMG\robocam_2017_05_29_23_40_42_794.jpg;0;1;0;2.416782;100.7248;80.79282;1.326478;282.475;-0.001282125
..\training_data\3\IMG\robocam_2017_05_29_23_40_42_860.jpg;0;1;0;2.460793;100.7667;80.59972;1.329654;282.4587;-0.00131598
..\training_data\3\IMG\robocam_2017_05_29_23_40_42_927.jpg;0;1;0;2.503858;100.7987;80.45189;1.33495;282.4472;-0.001317383
..\training_data\3\IMG\robocam_2017_05_29_23_40_42_994.jpg;0;1;0;2.546801;100.8312;80.30151;1.341233;282.4359;-0.001357031
..\training_data\3\IMG\robocam_2017_05_29_23_40_43_060.jpg;0;1;0;2.603392;100.8643;80.14874;1.340011;282.4249;-0.001331464
..\training_data\3\IMG\robocam_2017_05_29_23_40_43_127.jpg;0;1;0;2.646785;100.9091;79.94107;1.341248;282.4092;-0.0008920111
..\training_data\3\IMG\robocam_2017_05_29_23_40_43_194.jpg;0;1;0;2.703068;100.9433;79.7823;1.349762;282.3945;-0.001349804
..\training_data\3\IMG\robocam_2017_05_29_23_40_43_260.jpg;0;1;0;2.74539;100.978;79.62107;1.356405;282.3824;-0.001416207
..\training_data\3\IMG\robocam_2017_05_29_23_40_43_327.jpg;0;1;0;2.787602;101.0251;79.40231;1.360549;282.3673;-0.001438761
..\training_data\3\IMG\robocam_2017_05_29_23_40_43_393.jpg;0;1;0;2.829679;101.061;79.23541;1.360114;282.356;-0.001452305
..\training_data\3\IMG\robocam_2017_05_29_23_40_43_459.jpg;0;1;0;2.885526;101.0973;79.06609;1.357548;282.3443;-0.001427523
..\training_data\3\IMG\robocam_2017_05_29_23_40_43_526.jpg;0;1;0;2.926917;101.1465;78.83632;1.365025;282.3264;-0.001420402
..\training_data\3\IMG\robocam_2017_05_29_23_40_43_593.jpg;0;1;0;2.968494;101.184;78.66123;1.366266;282.3134;-0.001464345
..\training_data\3\IMG\robocam_2017_05_29_23_40_43_659.jpg;0;1;0;3.0237;101.222;78.48368;1.368693;282.3019;-0.001025394
..\training_data\3\IMG\robocam_2017_05_29_23_40_43_726.jpg;0;1;0;3.064644;101.2734;78.24315;1.373872;282.2818;-0.001491037
..\training_data\3\IMG\robocam_2017_05_29_23_40_43_793.jpg;0;1;0;3.105767;101.3125;78.05994;1.376782;282.2697;-0.001060893
..\training_data\3\IMG\robocam_2017_05_29_23_40_43_859.jpg;0;1;0;3.160081;101.352;77.87431;1.38064;282.2538;-0.001500142
..\training_data\3\IMG\robocam_2017_05_29_23_40_43_926.jpg;0;1;0;3.200897;101.4054;77.6231;1.384751;282.2352;-0.001418546
..\training_data\3\IMG\robocam_2017_05_29_23_40_43_992.jpg;0;1;0;3.241273;101.446;77.43195;1.385265;282.2203;-0.001536254
..\training_data\3\IMG\robocam_2017_05_29_23_40_44_059.jpg;0;1;0;3.294999;101.4871;77.23833;1.390379;282.2051;-0.001548788
..\training_data\3\IMG\robocam_2017_05_29_23_40_44_126.jpg;0;1;0;3.335378;101.5425;76.97656;1.39311;282.1852;-0.001449215
..\training_data\3\IMG\robocam_2017_05_29_23_40_44_192.jpg;0;1;0;3.375309;101.5846;76.77743;1.398785;282.1689;-0.001457439
..\training_data\3\IMG\robocam_2017_05_29_23_40_44_258.jpg;0;1;0;3.428469;101.6271;76.57604;1.398627;282.153;-0.001603825
..\training_data\3\IMG\robocam_2017_05_29_23_40_44_325.jpg;0;1;0;3.468099;101.6845;76.30376;1.404293;282.1326;-0.001153741
..\training_data\3\IMG\robocam_2017_05_29_23_40_44_392.jpg;0;1;0;3.507603;101.7281;76.09683;1.40883;282.1156;-0.001151609
..\training_data\3\IMG\robocam_2017_05_29_23_40_44_459.jpg;0;1;0;3.560194;101.772;75.88763;1.409604;282.0974;-0.001647041
..\training_data\3\IMG\robocam_2017_05_29_23_40_44_525.jpg;0;1;0;3.599403;101.8313;75.60499;1.417219;282.0743;-0.00156985
..\training_data\3\IMG\robocam_2017_05_29_23_40_44_592.jpg;0;1;0;3.6385;101.8762;75.39039;1.418343;282.058;-0.001210408
..\training_data\3\IMG\robocam_2017_05_29_23_40_44_658.jpg;0;1;0;3.690922;101.9216;75.17344;1.422329;282.0388;-0.001571601
..\training_data\3\IMG\robocam_2017_05_29_23_40_44_725.jpg;1.512311;1;0;3.729715;101.983;74.88076;1.424;282.0821;-0.002286418
..\training_data\3\IMG\robocam_2017_05_29_23_40_44_792.jpg;4.523425;1;0;3.768156;102.0316;74.65912;1.421799;282.4399;-0.002459438
..\training_data\3\IMG\robocam_2017_05_29_23_40_44_858.jpg;7.494782;1;0;3.817728;102.0841;74.43649;1.397574;283.1873;0.02810143
..\training_data\3\IMG\robocam_2017_05_29_23_40_44_925.jpg;4.497561;1;0;3.854806;102.1589;74.13804;1.318455;284.3299;0.08323748
..\training_data\3\IMG\robocam_2017_05_29_23_40_44_991.jpg;1.485351;1;0;3.894122;102.2172;73.91216;1.2486;284.8731;0.1182214
..\training_data\3\IMG\robocam_2017_05_29_23_40_45_058.jpg;0;1;0;3.944823;102.2766;73.68372;1.20644;285.0569;0.1506332
..\training_data\3\IMG\robocam_2017_05_29_23_40_45_124.jpg;0;1;0;3.981503;102.3573;73.37534;1.183389;285.088;0.1732617
..\training_data\3\IMG\robocam_2017_05_29_23_40_45_191.jpg;0;1;0;4.018709;102.4187;73.14124;1.185666;285.0661;0.1674487
..\training_data\3\IMG\robocam_2017_05_29_23_40_45_257.jpg;0;1;0;4.068436;102.4808;72.90459;1.212879;285.0344;0.1511722
..\training_data\3\IMG\robocam_2017_05_29_23_40_45_324.jpg;0;1;0;4.10532;102.5644;72.58533;1.270284;284.9838;0.09935506
..\training_data\3\IMG\robocam_2017_05_29_23_40_45_391.jpg;0;1;0;4.141887;102.6278;72.34297;1.336414;284.945;0.04742994
..\training_data\3\IMG\robocam_2017_05_29_23_40_45_457.jpg;0;1;0;4.190475;102.6919;72.09829;1.415754;284.9114;-0.002292602
..\training_data\3\IMG\robocam_2017_05_29_23_40_45_524.jpg;0;1;0;4.22611;102.779;71.76968;1.48036;284.8957;-0.002816312
..\training_data\3\IMG\robocam_2017_05_29_23_40_45_591.jpg;0;1;0;4.265119;102.8443;71.52144;1.472629;284.8717;-0.00206492
..\training_data\3\IMG\robocam_2017_05_29_23_40_45_657.jpg;0;1;0;4.314971;102.9099;71.27085;1.470534;284.8516;-0.001375802
..\training_data\3\IMG\robocam_2017_05_29_23_40_45_724.jpg;0;1;0;4.351095;102.9979;70.93317;1.480546;284.817;-0.001430629
..\training_data\3\IMG\robocam_2017_05_29_23_40_45_790.jpg;0;1;0;4.387097;103.0644;70.67751;1.481477;284.7916;-0.001844461
..\training_data\3\IMG\robocam_2017_05_29_23_40_45_857.jpg;0;1;0;4.435928;103.1313;70.41959;1.489088;284.7672;-0.001341157
..\training_data\3\IMG\robocam_2017_05_29_23_40_45_924.jpg;3.003359;1;0;4.471543;103.2224;70.073;1.48494;284.9552;-0.003204555
..\training_data\3\IMG\robocam_2017_05_29_23_40_45_990.jpg;3.004763;1;0;4.507899;103.2932;69.81121;1.476576;285.3355;-0.003670778
..\training_data\3\IMG\robocam_2017_05_29_23_40_46_056.jpg;0.0147213;1;0;4.555474;103.3652;69.54745;1.472975;285.6057;-0.002743054
..\training_data\3\IMG\robocam_2017_05_29_23_40_46_123.jpg;0;1;0;4.59061;103.4624;69.19241;1.482306;285.7016;-0.001536947
..\training_data\3\IMG\robocam_2017_05_29_23_40_46_190.jpg;0;1;0;4.62571;103.5364;68.92363;1.501197;285.6967;-0.001372085
..\training_data\3\IMG\robocam_2017_05_29_23_40_46_256.jpg;0;1;0;4.673267;103.6108;68.65315;1.49884;285.6697;-0.001866721
..\training_data\3\IMG\robocam_2017_05_29_23_40_46_324.jpg;0;1;0;4.709012;103.7109;68.2895;1.483912;285.628;-0.001351763
..\training_data\3\IMG\robocam_2017_05_29_23_40_46_390.jpg;0;1;0;4.743814;103.7866;68.01416;1.486007;285.5948;-0.001378814
..\training_data\3\IMG\robocam_2017_05_29_23_40_46_456.jpg;0;1;0;4.79005;103.8627;67.73663;1.497388;285.5613;-0.001418496
..\training_data\3\IMG\robocam_2017_05_29_23_40_46_523.jpg;0;1;0;4.824612;103.9649;67.36339;1.511712;285.5132;-0.001806854
..\training_data\3\IMG\robocam_2017_05_29_23_40_46_589.jpg;0;1;0;4.860154;104.0418;67.08134;1.503286;285.474;-0.001390569
..\training_data\3\IMG\robocam_2017_05_29_23_40_46_656.jpg;0;1;0;4.905995;104.1192;66.79712;1.503803;285.4376;-0.001455091
..\training_data\3\IMG\robocam_2017_05_29_23_40_46_723.jpg;1.470534;1;0;4.940169;104.2232;66.41487;1.516481;285.4403;-0.001965528
..\training_data\3\IMG\robocam_2017_05_29_23_40_46_789.jpg;1.463337;1;0;4.974336;104.3026;66.1263;1.512482;285.5855;-0.002906791
..\training_data\3\IMG\robocam_2017_05_29_23_40_46_856.jpg;0;1;0;5.012604;104.3823;65.8363;1.506914;285.6475;-0.002001404
..\training_data\3\IMG\robocam_2017_05_29_23_40_46_923.jpg;0;1;0;5.011266;104.4887;65.4493;1.514543;285.6334;-0.001363139
..\training_data\3\IMG\robocam_2017_05_29_23_40_46_989.jpg;0;1;0;5.01354;104.5682;65.15986;1.448321;285.6079;-0.001735662
..\training_data\3\IMG\robocam_2017_05_29_23_40_47_055.jpg;0;1;0;5.008239;104.6471;64.87215;1.348668;285.5945;-0.001275945
..\training_data\3\IMG\robocam_2017_05_29_23_40_47_122.jpg;0;1;0;5.013843;104.7529;64.48633;1.283478;285.5506;-0.001323254
